,title,price,link
0,"Dell [Smartchoice] 15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Grey/1.48kg  ","36,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDMzMDQxNzY0MTU0MDc2OjE3MjUwOTU5NTI6c3BfYXRmOjMwMDA2ODcxNjY4MTEzMjo6MDo6&url=%2FDell-Smartchoice-i3-1215U-Processor-Spill-Resistant%2Fdp%2FB0BQJ68HHC%2Fref%3Dsr_1_1_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.yBLtX5CW_7yJp0ypl9Izt5oWtWcdPBPWNaNdaPkXvBDWQGR2rNjq1o8kXLpGVUIO6UyxuPVOKuJFnFmF6p9VZl4EMvcJLqSKh4BQ8CFgmaQCAiPsGT7cshMHmcyi6tUow3wUTxmK8eAgW6W0K1IB0feo1Mq2tiIgTKjkmyeOOJOHvQxJPcZ__uKq-N0dQsPoX9qU-oIZeIAT7PGvdh-IRC2QizisxVDTAYM5R36mIJs.7N-Zt2Ra--icoEJuq8qSCOFfuyMclC8y9BFwpREYxcs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725095952%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad 1 Intel Core Celeron N4020 15"" HD Thin and Light Laptop (8GB/512GB SDD/Windows 11 Home/Office 2021/1Yr Warranty/Cloud Grey/1.3Kg), 82V700ECIN  ","26,188",https://amazon.in//Lenovo-IdeaPad-Celeron-Warranty-82V700ECIN/dp/B0CWRS3XRB/ref=sr_1_10?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.yBLtX5CW_7yJp0ypl9Izt5oWtWcdPBPWNaNdaPkXvBDWQGR2rNjq1o8kXLpGVUIO6UyxuPVOKuJFnFmF6p9VZl4EMvcJLqSKh4BQ8CFgmaQCAiPsGT7cshMHmcyi6tUow3wUTxmK8eAgW6W0K1IB0feo1Mq2tiIgTKjkmyeOOJOHvQxJPcZ__uKq-N0dQsPoX9qU-oIZeIAT7PGvdh-IRC2QizisxVDTAYM5R36mIJs.7N-Zt2Ra--icoEJuq8qSCOFfuyMclC8y9BFwpREYxcs&dib_tag=se&keywords=laptop&qid=1725095952&sprefix=laptop%2Caps%2C818&sr=8-10
2,"Chuwi CoreBook X i5 14"" Laptop, 16GB RAM 512GB SSD, Windows 11, Intel Core i5-1035G1 (Upto 3.6GHz), WIFI 6, USB3.2, Backlit Keyboard, Webcam, Bluetooth 5.2, HDMI Port, 46.2 Wh, 1.4kg (Gray)  ","24,990",https://amazon.in//Chuwi-CoreBook-i5-1035G1-Keyboard-Bluetooth/dp/B0CNT6LD6W/ref=sr_1_72?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-72
3,"HP Laptop 15, 13th Gen Intel® Core™ i5-1334U, 15.6-inch(39.6 cm), FHD, 8GB DDR4(3200 MHZ),512GB SSD,MSO,Dual Speakers,Win 11, Natural Silver, 1.6kg, 15-fd0220TU  ","52,018",https://amazon.in//HP-i5-1334U-15-6-inch-Speakers-15-fd0220TU/dp/B0CY2PZZJB/ref=sr_1_73?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-73
4,"ASUS Vivobook 16, Intel®Core™ i3-1215U 12th Gen, 16"" (40.64 cm) FHD+, Thin and Light Laptop (16 GB RAM/512GB SSD/Win11/FingerPrint/Black/1.88kg), X1605ZAB-MB342WS  ","40,990",https://amazon.in//ASUS-Intel%C2%AECoreTM-Laptop-FingerPrint-X1605ZAB-MB342WS/dp/B0CFVY1V5X/ref=sr_1_74?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-74
5,"Lenovo Thinkpad P14s 13th Gen Intel Core i7 14""(35.56 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/512GB SSD/Win 11 Pro/Backlit/Villi Black/3Y Premier/NVIDIA RTX A500 4GB/1.34Kg), 21HF001FIG  ","1,29,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU4MjgwNzkzODI3OTg1OjE3MjUwOTYwMDE6c3BfbXRmOjMwMDE2NjY3MzE0NDUzMjo6MDo6&url=%2FLenovo-Thinkpad-300nits-Workstation-21HF001FIG%2Fdp%2FB0CVQZTV6V%2Fref%3Dsr_1_75_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096001%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
6,"Lenovo ThinkBook 16 Intel 13th Gen Core i5 16"" (40.64cm) WUXGA 300 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Win 11 Home/Office 2021/Backlit Keyboard/Arctic Grey/1.7 Kg), 21KHA0J6IN  ","57,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3ODU4MjgwNzkzODI3OTg1OjE3MjUwOTYwMDE6c3BfbXRmOjMwMDE2NjY2NjE5ODEzMjo6MDo6&url=%2FLenovo-ThinkBook-Antiglare-Keyboard-21KHA0J6IN%2Fdp%2FB0CZ7BFQZL%2Fref%3Dsr_1_76_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725096001%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
7,"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00EVIN  ","30,809",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82VG00EVIN/dp/B0CJLP39RS/ref=sr_1_77?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-77
8,JioBook 11 Android 4G Laptop (Mediatek 8788 Octa-core 2 GHz/ARM Mali G72 MP3 @800 MHz/29.5cms 60 Hz/Thin and Light Laptop/ 4 GB LPDDR4/ 64 GB eMMC/JioOS/Dual Band Wi-Fi/Blue/ 990 GMS)/Office Included  ,"15,599",https://amazon.in//JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_78?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-78
9,"Dell [Smartchoice] G15-5530 Gaming Laptop, Intel Core i5-13450HX, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6,15.6"" (39.62cm) FHD 120Hz 250 nits,Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray,2.65kg  ","80,390",https://amazon.in//Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_79?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-79
10,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","23,199",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_80?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-80
11,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4 + 512GB SSD/Intel UHD Graphics/15 (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","50,700",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_81?crid=XKITR2QKB0RK&dib=eyJ2IjoiMSJ9.4nvjj66wyZyir8wlIcY3AAojJdzCqei7di2_ePIo3LZpfEyYN105KWNFd5heROUgJIDn4IGVxdmTKCRyp9fDQrXJmWcfh4oFC3ZO2tEKgt83WfqaQ_diftDdrAArfcNE0MXj91C4Rqj9xPpQqjK834RAuojvaS12saz6y7FQIJedjaSOe0knP-uupA37hwGDUVItrNeYdgsbL5FToJAtm8RCjdR84o5B3AK9ofpkpxg.f3bn8MndoC73ryy91DASQS0t8l1NIvB5oSAgwe6msTw&dib_tag=se&keywords=laptop&qid=1725096001&sprefix=laptop%2Caps%2C818&sr=8-81
12,"Apple 2023 MacBook Pro (14-inch, M3 Pro chip with 11‑core CPU and 14‑core GPU, 18GB Unified Memory, 512GB) - Space Black  ","1,86,899",https://amazon.in//sspa/click?ie=UTF8&spc=MTozMDMzMDQxNzY0MTU0MDc2OjE3MjUwOTU5NTI6c3BfbXRmOjMwMDA4NTQwMzIxODMzMjo6MDo6&url=%2FApple-MacBook-14-inch-11%25E2%2580%2591core-14%25E2%2580%2591core%2Fdp%2FB0CM5SRXP8%2Fref%3Dsr_1_11_sspa%3Fcrid%3DXKITR2QKB0RK%26dib%3DeyJ2IjoiMSJ9.yBLtX5CW_7yJp0ypl9Izt5oWtWcdPBPWNaNdaPkXvBDWQGR2rNjq1o8kXLpGVUIO6UyxuPVOKuJFnFmF6p9VZl4EMvcJLqSKh4BQ8CFgmaQCAiPsGT7cshMHmcyi6tUow3wUTxmK8eAgW6W0K1IB0feo1Mq2tiIgTKjkmyeOOJOHvQxJPcZ__uKq-N0dQsPoX9qU-oIZeIAT7PGvdh-IRC2QizisxVDTAYM5R36mIJs.7N-Zt2Ra--icoEJuq8qSCOFfuyMclC8y9BFwpREYxcs%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1725095952%26sprefix%3Dlaptop%252Caps%252C818%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
